,ll,Bluewidth,Redwidth,Maxratio,fmin,fmin_sp,Blueratio,Redratio,Fullratio,Element,ionisation,Teff,logg,FeH,Resolution,min_snr_res,min_snr_AA
240,5691.5,5691.3,5691.7,0.969,0.842,0.837,0.949,0.969,0.959,Fe,1,5750.0,4.5,0.0,20000,28,53
241,5696.1,5695.9,5696.3,0.967,0.925,0.923,0.945,0.967,0.957,Fe,1,5750.0,4.5,0.0,20000,60,112
243,5701.5,5701.2,5701.9,0.966,0.677,0.672,0.88,0.966,0.92,Fe,1,5750.0,4.5,0.0,20000,13,26
244,5702.3,5702.2,5702.6,0.635,0.908,0.852,0.44,0.635,0.547,Fe,1,5750.0,4.5,0.0,20000,48,91
245,5704.7,5704.6,5704.9,0.984,0.942,0.941,0.984,0.971,0.977,Fe,1,5750.0,4.5,0.0,20000,77,145
246,5705.5,5705.2,5705.9,0.988,0.823,0.822,0.985,0.988,0.987,Fe,1,5750.0,4.5,0.0,20000,25,47
247,5706.0,5705.6,5706.3,0.986,0.706,0.7,0.986,0.911,0.95,Fe,1,5750.0,4.5,0.0,20000,15,28
248,5707.0,5706.8,5707.3,0.797,0.879,0.828,0.562,0.797,0.67,Fe,1,5750.0,4.5,0.0,20000,37,69
249,5708.1,5707.9,5708.3,0.901,0.868,0.844,0.901,0.426,0.578,Fe,1,5750.0,4.5,0.0,20000,34,63
250,5709.4,5709.0,5709.8,0.91,0.597,0.53,0.91,0.513,0.655,Fe,1,5750.0,4.5,0.0,20000,11,20
251,5711.8,5711.6,5712.3,0.735,0.814,0.668,0.592,0.735,0.696,Fe,1,5750.0,4.5,0.0,20000,24,45
252,5712.1,5711.7,5712.4,0.95,0.776,0.759,0.643,0.95,0.71,Fe,1,5750.0,4.5,0.0,20000,20,37
253,5715.1,5714.8,5715.4,0.805,0.759,0.697,0.742,0.805,0.772,Fe,1,5750.0,4.5,0.0,20000,18,34
254,5717.8,5717.6,5718.1,0.995,0.757,0.756,0.995,0.972,0.983,Fe,1,5750.0,4.5,0.0,20000,18,34
0,6102.2,6101.9,6102.5,0.965,0.748,0.742,0.965,0.785,0.867,Fe,1,5750.0,4.5,0.0,20000,17,32
1,6103.2,6102.9,6103.6,0.945,0.689,0.682,0.693,0.945,0.831,Fe,1,5750.0,4.5,0.0,20000,14,26
3,6127.9,6127.7,6128.2,0.982,0.807,0.806,0.982,0.972,0.977,Fe,1,5750.0,4.5,0.0,20000,23,42
5,6136.6,6136.2,6137.1,0.996,0.533,0.532,0.994,0.996,0.995,Fe,1,5750.0,4.5,0.0,20000,9,17
6,6137.0,6136.5,6137.5,0.997,0.726,0.724,0.997,0.991,0.995,Fe,1,5750.0,4.5,0.0,20000,16,29
7,6137.7,6137.2,6138.2,0.997,0.53,0.529,0.997,0.992,0.995,Fe,1,5750.0,4.5,0.0,20000,9,17
8,6141.7,6141.4,6142.0,0.688,0.716,0.598,0.618,0.688,0.651,Fe,1,5750.0,4.5,0.0,20000,15,28
9,6145.4,6145.2,6145.6,0.926,0.91,0.907,0.839,0.926,0.881,Fe,1,5750.0,4.5,0.0,20000,50,90
144,6147.7,6147.5,6147.9,0.694,0.872,0.776,0.694,0.368,0.481,Fe,2,5750.0,4.5,0.0,20000,35,63
10,6147.8,6147.6,6148.1,0.797,0.839,0.766,0.477,0.797,0.597,Fe,1,5750.0,4.5,0.0,20000,27,50
145,6149.2,6149.0,6149.5,0.964,0.874,0.871,0.964,0.955,0.959,Fe,2,5750.0,4.5,0.0,20000,35,64
11,6151.6,6151.4,6151.9,0.987,0.798,0.796,0.987,0.976,0.982,Fe,1,5750.0,4.5,0.0,20000,22,40
12,6157.7,6157.4,6158.0,0.961,0.745,0.74,0.952,0.961,0.956,Fe,1,5750.0,4.5,0.0,20000,17,31
15,6165.4,6165.1,6165.6,0.96,0.821,0.817,0.95,0.96,0.955,Fe,1,5750.0,4.5,0.0,20000,25,45
16,6170.5,6170.2,6171.0,0.883,0.738,0.71,0.883,0.857,0.869,Fe,1,5750.0,4.5,0.0,20000,17,30
17,6173.3,6173.1,6173.6,0.97,0.737,0.734,0.97,0.957,0.964,Fe,1,5750.0,4.5,0.0,20000,17,30
18,6180.2,6179.7,6180.5,0.942,0.772,0.764,0.851,0.942,0.891,Fe,1,5750.0,4.5,0.0,20000,19,35
19,6183.6,6183.4,6183.7,0.924,0.924,0.921,0.924,0.908,0.916,Fe,1,5750.0,4.5,0.0,20000,59,106
20,6188.0,6187.7,6188.2,0.989,0.804,0.802,0.967,0.989,0.978,Fe,1,5750.0,4.5,0.0,20000,22,41
21,6191.6,6191.1,6192.0,0.96,0.532,0.529,0.596,0.96,0.735,Fe,1,5750.0,4.5,0.0,20000,9,17
22,6200.3,6200.0,6200.6,0.991,0.727,0.726,0.991,0.99,0.99,Fe,1,5750.0,4.5,0.0,20000,16,29
24,6213.4,6213.1,6213.7,0.989,0.675,0.675,0.989,0.987,0.988,Fe,1,5750.0,4.5,0.0,20000,13,24
25,6215.1,6214.9,6215.6,0.866,0.783,0.741,0.852,0.866,0.862,Fe,1,5750.0,4.5,0.0,20000,20,37
26,6215.4,6215.0,6215.7,0.963,0.806,0.791,0.839,0.963,0.866,Fe,1,5750.0,4.5,0.0,20000,23,41
27,6216.4,6216.2,6216.6,0.672,0.905,0.86,0.672,0.672,0.672,Fe,1,5750.0,4.5,0.0,20000,47,84
28,6219.3,6219.0,6219.6,0.988,0.66,0.658,0.988,0.973,0.98,Fe,1,5750.0,4.5,0.0,20000,13,23
29,6220.8,6220.6,6221.0,0.968,0.875,0.872,0.852,0.968,0.907,Fe,1,5750.0,4.5,0.0,20000,36,64
30,6226.7,6226.5,6226.9,0.985,0.886,0.883,0.957,0.985,0.971,Fe,1,5750.0,4.5,0.0,20000,39,70
31,6229.2,6229.0,6229.5,0.958,0.828,0.818,0.958,0.879,0.917,Fe,1,5750.0,4.5,0.0,20000,26,46
32,6230.7,6230.3,6231.2,0.968,0.528,0.516,0.968,0.877,0.92,Fe,1,5750.0,4.5,0.0,20000,9,17
33,6232.6,6232.3,6233.0,0.988,0.681,0.678,0.923,0.988,0.955,Fe,1,5750.0,4.5,0.0,20000,14,25
146,6238.4,6238.2,6238.6,0.832,0.838,0.798,0.63,0.832,0.717,Fe,2,5750.0,4.5,0.0,20000,27,49
35,6240.3,6240.1,6240.8,0.987,0.917,0.913,0.845,0.987,0.963,Fe,1,5750.0,4.5,0.0,20000,54,97
36,6240.6,6240.2,6240.9,0.995,0.794,0.793,0.964,0.995,0.975,Fe,1,5750.0,4.5,0.0,20000,21,39
37,6246.3,6245.8,6246.8,0.985,0.589,0.588,0.974,0.985,0.98,Fe,1,5750.0,4.5,0.0,20000,10,19
147,6247.6,6247.3,6247.8,0.964,0.811,0.806,0.842,0.964,0.897,Fe,2,5750.0,4.5,0.0,20000,23,42
38,6252.6,6252.2,6253.0,0.996,0.578,0.577,0.996,0.996,0.996,Fe,1,5750.0,4.5,0.0,20000,10,19
39,6253.8,6253.6,6254.3,0.643,0.883,0.864,0.619,0.643,0.638,Fe,1,5750.0,4.5,0.0,20000,38,68
40,6254.3,6253.8,6254.6,0.807,0.677,0.587,0.629,0.807,0.691,Fe,1,5750.0,4.5,0.0,20000,13,24
41,6256.4,6256.1,6256.6,0.905,0.699,0.67,0.882,0.905,0.893,Fe,1,5750.0,4.5,0.0,20000,14,26
43,6265.1,6264.8,6265.6,0.965,0.674,0.67,0.962,0.965,0.964,Fe,1,5750.0,4.5,0.0,20000,13,24
45,6270.2,6270.0,6270.5,0.977,0.773,0.769,0.911,0.977,0.943,Fe,1,5750.0,4.5,0.0,20000,19,35
46,6271.3,6271.1,6271.5,0.979,0.893,0.891,0.979,0.936,0.957,Fe,1,5750.0,4.5,0.0,20000,42,75
52,6297.8,6297.5,6298.1,0.986,0.714,0.709,0.986,0.951,0.968,Fe,1,5750.0,4.5,0.0,20000,15,28
53,6301.5,6301.0,6302.0,0.992,0.588,0.586,0.992,0.973,0.982,Fe,1,5750.0,4.5,0.0,20000,10,19
54,6302.5,6302.0,6302.9,0.988,0.64,0.639,0.983,0.988,0.986,Fe,1,5750.0,4.5,0.0,20000,12,22
56,6311.5,6311.3,6311.7,0.943,0.884,0.881,0.909,0.943,0.926,Fe,1,5750.0,4.5,0.0,20000,38,69
57,6315.3,6314.9,6315.8,0.973,0.697,0.695,0.858,0.973,0.928,Fe,1,5750.0,4.5,0.0,20000,14,26
58,6315.8,6315.3,6316.0,0.969,0.834,0.828,0.969,0.964,0.968,Fe,1,5750.0,4.5,0.0,20000,27,48
59,6318.0,6317.6,6318.4,0.976,0.601,0.597,0.976,0.966,0.971,Fe,1,5750.0,4.5,0.0,20000,11,20
60,6322.7,6322.4,6323.0,0.977,0.722,0.72,0.972,0.977,0.975,Fe,1,5750.0,4.5,0.0,20000,16,28
62,6335.3,6335.0,6335.7,0.998,0.622,0.622,0.998,0.988,0.993,Fe,1,5750.0,4.5,0.0,20000,11,21
63,6336.8,6336.4,6337.2,0.986,0.618,0.616,0.986,0.97,0.978,Fe,1,5750.0,4.5,0.0,20000,11,20
64,6338.9,6338.6,6339.1,0.955,0.835,0.818,0.955,0.478,0.637,Fe,1,5750.0,4.5,0.0,20000,27,48
69,6362.9,6362.7,6363.1,0.811,0.846,0.809,0.75,0.811,0.78,Fe,1,5750.0,4.5,0.0,20000,29,51
72,6380.7,6380.5,6381.0,0.958,0.81,0.805,0.958,0.93,0.944,Fe,1,5750.0,4.5,0.0,20000,23,41
74,6393.6,6393.1,6394.1,0.979,0.536,0.535,0.979,0.97,0.975,Fe,1,5750.0,4.5,0.0,20000,9,17
75,6400.0,6399.5,6400.5,0.999,0.49,0.49,0.991,0.999,0.996,Fe,1,5750.0,4.5,0.0,20000,8,15
76,6408.0,6407.6,6408.4,0.968,0.646,0.643,0.968,0.924,0.945,Fe,1,5750.0,4.5,0.0,20000,12,22
77,6411.6,6411.2,6412.1,0.994,0.564,0.563,0.993,0.994,0.994,Fe,1,5750.0,4.5,0.0,20000,10,18
78,6416.9,6416.7,6417.2,0.768,0.861,0.814,0.7,0.768,0.732,Fe,1,5750.0,4.5,0.0,20000,32,57
149,6416.9,6416.7,6417.1,0.649,0.879,0.814,0.649,0.596,0.621,Fe,2,5750.0,4.5,0.0,20000,37,65
79,6419.9,6419.5,6420.3,0.982,0.68,0.678,0.968,0.982,0.974,Fe,1,5750.0,4.5,0.0,20000,14,24
80,6421.4,6421.0,6421.7,0.978,0.609,0.59,0.978,0.793,0.876,Fe,1,5750.0,4.5,0.0,20000,11,20
81,6430.8,6430.5,6431.2,0.987,0.59,0.587,0.899,0.987,0.941,Fe,1,5750.0,4.5,0.0,20000,10,19
150,6432.7,6432.4,6432.9,0.987,0.837,0.836,0.987,0.986,0.987,Fe,2,5750.0,4.5,0.0,20000,27,48
151,6456.4,6456.1,6456.6,0.985,0.776,0.774,0.985,0.967,0.976,Fe,2,5750.0,4.5,0.0,20000,20,35
83,6462.7,6462.4,6463.0,0.716,0.693,0.529,0.295,0.716,0.418,Fe,1,5750.0,4.5,0.0,20000,14,25
84,6469.1,6468.9,6469.5,0.98,0.782,0.781,0.967,0.98,0.976,Fe,1,5750.0,4.5,0.0,20000,20,36
86,6481.9,6481.6,6482.1,0.986,0.758,0.755,0.986,0.925,0.955,Fe,1,5750.0,4.5,0.0,20000,18,32
88,6494.5,6494.3,6495.0,0.97,0.892,0.883,0.842,0.97,0.953,Fe,1,5750.0,4.5,0.0,20000,41,73
89,6495.0,6494.5,6495.5,0.987,0.497,0.496,0.969,0.987,0.978,Fe,1,5750.0,4.5,0.0,20000,8,15
90,6495.7,6495.3,6496.0,0.97,0.814,0.81,0.929,0.97,0.945,Fe,1,5750.0,4.5,0.0,20000,24,42
91,6496.5,6496.2,6496.8,0.971,0.754,0.749,0.971,0.759,0.853,Fe,1,5750.0,4.5,0.0,20000,18,32
92,6498.9,6498.7,6499.2,0.868,0.822,0.792,0.868,0.71,0.782,Fe,1,5750.0,4.5,0.0,20000,25,44
152,6516.1,6515.8,6516.3,0.959,0.795,0.788,0.902,0.959,0.93,Fe,2,5750.0,4.5,0.0,20000,21,38
98,6546.2,6545.9,6546.6,0.914,0.607,0.598,0.896,0.914,0.905,Fe,1,5750.0,4.5,0.0,20000,11,20
100,6569.2,6568.9,6569.5,0.733,0.719,0.689,0.707,0.733,0.72,Fe,1,5750.0,4.5,0.0,20000,16,27
103,6581.2,6581.0,6581.4,0.788,0.912,0.896,0.731,0.788,0.759,Fe,1,5750.0,4.5,0.0,20000,51,89
106,6597.6,6597.3,6597.8,0.935,0.836,0.829,0.911,0.935,0.923,Fe,1,5750.0,4.5,0.0,20000,27,47
107,6608.0,6607.8,6608.2,0.953,0.919,0.916,0.937,0.953,0.945,Fe,1,5750.0,4.5,0.0,20000,55,96
108,6609.1,6608.8,6609.4,0.974,0.748,0.746,0.965,0.974,0.969,Fe,1,5750.0,4.5,0.0,20000,17,31
110,6625.0,6624.9,6625.2,0.879,0.935,0.929,0.78,0.879,0.827,Fe,1,5750.0,4.5,0.0,20000,69,120
111,6627.5,6627.3,6627.7,0.951,0.902,0.9,0.951,0.932,0.941,Fe,1,5750.0,4.5,0.0,20000,45,79
112,6632.0,6631.8,6632.2,0.854,0.918,0.902,0.696,0.854,0.767,Fe,1,5750.0,4.5,0.0,20000,54,95
115,6639.9,6639.5,6640.0,0.872,0.913,0.902,0.872,0.827,0.863,Fe,1,5750.0,4.5,0.0,20000,51,89
116,6653.9,6653.7,6654.0,0.967,0.935,0.934,0.967,0.966,0.967,Fe,1,5750.0,4.5,0.0,20000,69,120
117,6663.4,6663.0,6663.7,0.977,0.674,0.671,0.958,0.977,0.964,Fe,1,5750.0,4.5,0.0,20000,13,23
120,6678.0,6677.5,6678.4,0.971,0.569,0.566,0.971,0.96,0.966,Fe,1,5750.0,4.5,0.0,20000,10,18
122,6696.3,6696.2,6696.5,0.79,0.946,0.927,0.487,0.79,0.6,Fe,1,5750.0,4.5,0.0,20000,83,144
123,6703.6,6703.3,6703.8,0.956,0.854,0.849,0.956,0.954,0.955,Fe,1,5750.0,4.5,0.0,20000,30,53
130,6715.4,6715.2,6715.6,0.851,0.903,0.887,0.851,0.792,0.82,Fe,1,5750.0,4.5,0.0,20000,46,80
139,6750.2,6749.9,6750.4,0.994,0.722,0.721,0.994,0.988,0.991,Fe,1,5750.0,4.5,0.0,20000,16,27
140,6752.7,6752.5,6752.9,0.977,0.851,0.85,0.966,0.977,0.971,Fe,1,5750.0,4.5,0.0,20000,30,51
